q,a
What cloud deployment models are supported by Azure?,"Public, private, and hybrid cloud models."
What are the three main service models of cloud computing?,"Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS)."
What cloud computing model allows the provider to manage the operating system and hardware while the customer manages applications?,Platform as a Service (PaaS).
"In the shared responsibility model, who secures the physical datacenters in Azure?",Microsoft is responsible for physical security.
What is a region in Azure?,A set of datacenters within a geographic area connected through a low-latency network.
What is an Azure region pair?,A pair of regions used for disaster recovery to provide availability and data residency.
Which Azure feature provides physically separate datacenters within a region for high availability?,Availability zones.
What is the difference between availability sets and availability zones?,"Availability sets distribute VMs across fault and update domains in one datacenter, while availability zones are separate physical datacenters for greater isolation."
Which Azure service lets you run containerized applications without managing servers?,Azure Container Instances.
Which Azure service orchestrates containers at scale?,Azure Kubernetes Service (AKS).
What is the purpose of Azure App Service?,"To host web apps, REST APIs, and mobile back ends on a fully managed platform."
What does Azure Functions provide?,A serverless compute service for running event-driven code without provisioning servers.
Which Azure storage service is used for storing unstructured data like images and documents?,Azure Blob Storage.
Which Azure Storage replication option replicates data to another Azure region?,Geo-Redundant Storage (GRS) or Read-Access Geo-Redundant Storage (RA-GRS).
Which Azure Storage access tier is optimized for infrequently accessed data stored for at least 30 days?,The cool tier.
"Which Azure storage service provides durable, high-performance block storage for VMs?",Azure Disk Storage (managed disks).
Which service allows you to create a private network in Azure?,Azure Virtual Network (VNet).
Which component controls inbound and outbound traffic at the subnet level?,Network Security Group (NSG).
Which Azure service directs DNS traffic to different endpoints across global regions?,Azure Traffic Manager.
What does Azure ExpressRoute provide?,"A private dedicated connection between on-premises networks and Azure, bypassing the public internet."
What is Azure VPN Gateway used for?,Establishing encrypted VPN connections between on-premises networks and Azure through the public internet.
What is VNet peering?,Connecting two virtual networks so they communicate privately through AzureΓÇÖs backbone.
Which service is used to host and manage DNS records in Azure?,Azure DNS.
What is a resource group in Azure?,A logical container for resources that share the same lifecycle.
What is the purpose of ARM templates?,To define infrastructure as code for consistent resource deployment.
What does Azure Policy do?,It enforces rules and ensures resource compliance across Azure resources.
What is the key difference between Azure Policy and RBAC?,"RBAC controls user permissions, while Azure Policy enforces configuration and compliance settings."
What is Azure role-based access control (RBAC)?,A system for managing access to Azure resources based on roles.
"Which service securely stores secrets, keys, and certificates?",Azure Key Vault.
What security feature requires additional verification beyond username and password?,Multi-Factor Authentication (MFA).
What is Conditional Access?,Policies that provide automated access control decisions based on conditions such as user location or device state.
Which feature allows external users like partners to access resources using their own identities?,External identities (formerly B2B collaboration) in Microsoft Entra ID.
What is Azure Bastion used for?,Securely connecting to virtual machines via RDP or SSH without exposing them to the public internet.
What is Azure Firewall?,A managed cloud-based network security service that protects Azure virtual network resources with stateful inspection.
What does Azure DDoS Protection do?,Protects applications from distributed denial-of-service attacks by detecting and mitigating malicious traffic.
What is Microsoft Defender for Cloud?,A unified security management system that provides posture management and threat protection across hybrid environments.
What is Microsoft Sentinel?,"A cloud-native SIEM and SOAR solution for analytics, detection, and automated response to security threats."
What does Azure AD Privileged Identity Management (PIM) do?,"Controls, monitors, and audits privileged access to reduce the risk of excessive or misused permissions."
What is Azure Arc?,"A set of technologies that extends Azure management and services to on-premises, multi-cloud, and edge environments."
Which tool estimates the cost of running workloads on Azure?,The Azure pricing calculator.
What is the Azure Total Cost of Ownership (TCO) calculator used for?,Comparing the cost of running workloads on-premises versus in Azure by estimating potential savings.
What does Azure Cost Management and Billing help with?,"Tracking cloud spending, budgeting, allocating costs, and optimizing resource usage."
What is reserved instance pricing?,Pre-purchasing compute capacity for one or three years at a discounted rate compared to pay-as-you-go pricing.
What is the Azure Hybrid Benefit?,A licensing benefit that lets you use existing Windows Server or SQL Server licenses to reduce Azure costs.
What is an availability set?,A group of VMs within a datacenter designed to distribute them across fault and update domains.
What is a fault domain in Azure?,A group of hardware that shares a common power source and network switch to reduce simultaneous failure risk.
What is an update domain in Azure?,A logical unit used to ensure that not all instances of a service are updated at the same time during maintenance.
Which service replicates on-premises files to Azure Storage for disaster recovery?,Azure File Sync.
Which service provides serverless event-driven message delivery between applications?,Azure Event Grid.
What is Azure Service Bus used for?,Providing enterprise messaging through queues and publish/subscribe topics.
What is Azure Advisor?,"A tool that analyzes resource configuration and usage to recommend cost, performance, reliability, and security improvements."
What is Azure Monitor?,"A platform for collecting, analyzing, and acting on telemetry data from Azure and on-premises environments."
Which service provides application performance monitoring including request traces and metrics?,Application Insights.
